episode,step,return,length
935,322103,271.86,334
936,322428,253.78,325
937,322687,268.64,259
938,322997,262.12,310
939,323274,268.38,277
940,323562,242.32,288
941,323859,298.37,297
942,324182,267.21,323
943,324480,275.44,298
944,324829,259.66,349
945,325124,277.84,295
946,325805,210.32,681
947,326098,279.82,293
948,326424,269.68,326
949,326752,302.97,328
950,326983,43.83,231
951,327272,292.97,289
952,327544,281.2,272
953,327861,273.99,317
954,328126,278.43,265
955,328435,233.5,309
956,328709,240.34,274
957,328993,268.97,284
958,329291,233.16,298
959,329626,250.13,335
960,329894,253.63,268
961,330224,253.04,330
962,330818,225.76,594
963,331100,255.49,282
964,331425,266.09,325
965,331693,267.25,268
966,331991,262.42,298
967,332279,244.05,288
968,332578,237.61,299
969,332861,271.19,283
970,333169,229.94,308
971,333516,278.22,347
972,333782,291.58,266
973,334125,224.1,343
974,334440,226.55,315
975,334715,284.72,275
976,335002,262.53,287
977,335314,256.53,312
978,335596,259.33,282
979,335913,279.83,317
980,336203,241.86,290
981,336722,285.56,519
982,337029,256.3,307
983,337841,199.48,812
984,338128,255.09,287
985,338369,52.54,241
986,338678,261.85,309
987,338954,233.67,276
988,339272,262.16,318
989,339557,278.9,285
990,339911,275.31,354
991,340375,224.84,464
992,340656,230.05,281
993,340959,260.48,303
994,341279,225.63,320
995,341570,252.57,291
996,341867,236.37,297
997,342164,220.22,297
998,342396,49.48,232
999,342703,266.62,307
1000,343037,255.32,334
1001,343325,264.67,288
1002,343647,255.65,322
1003,343935,268.45,288
1004,344347,291.32,412
1005,344670,260.73,323
1006,344955,259.91,285
1007,345285,258.7,330
1008,345591,288.96,306
1009,345899,238.66,308
1010,346203,261.19,304
1011,346511,277.03,308
1012,346744,9.92,233
1013,346978,72.05,234
1014,347277,256.0,299
1015,347646,278.08,369
1016,347955,272.33,309
1017,348244,45.91,289
1018,348539,220.0,295
1019,348878,266.68,339
1020,349191,257.32,313
1021,349504,270.47,313
1022,349814,290.72,310
1023,350128,293.15,314
1024,350455,306.37,327
1025,350770,234.41,315
1026,351082,265.6,312
1027,351427,264.26,345
1028,351748,251.42,321
1029,352077,282.26,329
1030,352392,276.2,315
1031,352648,291.91,256
1032,352967,245.79,319
1033,353280,259.14,313
